name,url,Region,price,Distillery / Brand,Alcohol,Volume,Nose,Palate,Finish,Nose_clean,Palate_clean,Finish_clean,Nose_tokens,Palate_tokens,Finish_tokens,price_usd,reg_0,reg_1,reg_2,reg_3,reg_4,reg_5,reg_6,reg_7,user_pref,score,Nose_common,Palate_common,Finish_common,vendor_rec
Laphroaig Select,https://www.masterofmalt.com/whiskies/laphroaig-/laphroaig-select-whisky/,Islay Whisky,30.95,Laphroaig,40.0%,70cl," Classic, medicinal peat notes up front, supported by citrus-y, chocolate-y sweet notes and soft barley. "," The peat is there, but it's taking it easy and letting the bright notes of lemon, green apples and mint stand out. Darker baking spice notes develop further on."," Medium length, peat remaining in sight until it's over. ",classic medicinal peat front supported citrusy chocolatey sweet soft barley,peat taking easy letting bright lemon green apple mint stand darker baking spice,medium long peat remaining sight,"['classic', 'medicinal', 'peat', 'front', 'supported', 'citrusy', 'chocolatey', 'sweet', 'soft', 'barley']","['peat', 'taking', 'easy', 'letting', 'bright', 'lemon', 'green', 'apple', 'mint', 'stand', 'darker', 'baking', 'spice']","['medium', 'long', 'peat', 'remaining', 'sight']",38.69,1,0,0,0,0,0,0,0,0.0,0.2377900653386009,sweet,,,"Talisker 10 Year Old,Triple Wood,Laphroaig Quarter Cask,Bowmore 12,Ileach Peaty,Bowmore No.1,Islay Storm,Lagavulin 16 Year Old,Laphroaig 10"
Jura 21 Year Old Tide,https://www.masterofmalt.com/whiskies/isle-of-jura/jura-21-year-old-tide-whisky/,Island Whisky,150.0,Isle of Jura,46.7%,70cl," Gingerbread, buttery caramel digestive biscuits and tropical fruit, namely banana."," Melted white chocolate, toasted walnut, sugared almonds, gingersnap biscuits, marzipan."," A spicy finish with allspice, pepper and a touch of honey.",gingerbread buttery caramel digestive biscuit tropical fruit namely banana,melted white chocolate toasted walnut sugared almonds gingersnap biscuits marzipan,spicy allspice pepper honey,"['gingerbread', 'buttery', 'caramel', 'digestive', 'biscuit', 'tropical', 'fruit', 'namely', 'banana']","['melted', 'white', 'chocolate', 'toasted', 'walnut', 'sugared', 'almonds', 'gingersnap', 'biscuits', 'marzipan']","['spicy', 'allspice', 'pepper', 'honey']",187.5,0,0,0,1,0,0,0,0,0.0,0.02510366862793714,,,,"Isle of Jura One and All,Jura One For You"
Inchgower 14 Year Old - Flora and Fauna,https://www.masterofmalt.com/whiskies/inchgower-14-year-old-whisky/,Speyside Whisky,48.46,Inchgower,43.0%,70cl,"The nose is quite light and delicate. There is a zesty tang with notes of sugary citrus, hints of stemmy hay and a gentle breeze pushing barley in a Summer field. Tones of blossom and apple peel with cocoa. ","The palate is fresh with hay and petals, notes of arak and well-balanced tannins. There are some spicy notes with cystallized stem ginger. ",The finish is of medium length with spice and a tangy citrus note.,light delicate zesty tang sugary citrus stemmy hay gentle breeze pushing barley summer field tones blossom apple peel cocoa,fresh hay petals arak wellbalanced tannins spicy cystallized stem ginger,medium long spice tangy citrus,"['light', 'delicate', 'zesty', 'tang', 'sugary', 'citrus', 'stemmy', 'hay', 'gentle', 'breeze', 'pushing', 'barley', 'summer', 'field', 'tones', 'blossom', 'apple', 'peel', 'cocoa']","['fresh', 'hay', 'petals', 'arak', 'wellbalanced', 'tannins', 'spicy', 'cystallized', 'stem', 'ginger']","['medium', 'long', 'spice', 'tangy', 'citrus']",60.58,0,1,0,0,0,0,0,0,0.0,0.02140016817923252,,,,"Blair Athol 12 Years Old,Linkwood 12,Glenlossie 10,Teaninich 10,Clynelish 14,Dailuaine 16,Glen Spey 12,Auchroisk 10,Strathmill 12"
Glen Scotia 15 Year Old,https://www.masterofmalt.com/whiskies/glen-scotia/glen-scotia-15-year-old-whisky/,Campbeltown Whisky,54.99,Glen Scotia,46.0%,70cl," Lots of rich fruit here - apricot jam, satsuma segments and apple pie. Wafts of sea breeze and baking spices develop after a minute."," Vanilla and fruit, with ginger and cinnamon bring a subtle dryness to it.", Quite long with continuing spice.,lots rich fruit apricot jam satsuma segment apple pie wafts sea breeze baking spice minute,vanilla fruit ginger cinnamon bring subtle dryness,long continuing spice,"['lots', 'rich', 'fruit', 'apricot', 'jam', 'satsuma', 'segment', 'apple', 'pie', 'wafts', 'sea', 'breeze', 'baking', 'spice', 'minute']","['vanilla', 'fruit', 'ginger', 'cinnamon', 'bring', 'subtle', 'dryness']","['long', 'continuing', 'spice']",68.74,0,0,0,0,1,0,0,0,0.0,0.048574139257513305,,vanilla,,"Kilkerran 12 Year Old,GlenDronach Allardice,Tomatin 14 Year Old,Royal Brackla 16 Year Old,GlenDronach 21 Parliament,Talisker 18 Year Old,Springbank 15,Glen Scotia Double Cask,Glenfarclas 15 Year Old"
Glengoyne 30 Year Old,https://www.masterofmalt.com/whiskies/glengoyne/glengoyne-30-year-old-whisky/,Highland Whisky,639.9,Glengoyne,46.8%,70cl," Slightly oily, floral honey and tangy marmalade dominate, with touches of rum-raisin ice-cream and all-spice present."," Rich, dark and thick. Sherried fruit galore, with morello cherry compote, plum jam and a layer of rich oak. Warm baking spices, cinnamon and ginger give a pleasant pinch, with a nutty backdrop."," Long, with candied orange peel rounding it off.",slightly oily floral honey tangy marmalade dominate rumraisin icecream allspice present,rich dark thick sherried fruit galore morello cherry compote plum jam layer rich oak warm baking spices cinnamon ginger give pleasant pinch nutty backdrop,long candied orange peel rounding,"['slightly', 'oily', 'floral', 'honey', 'tangy', 'marmalade', 'dominate', 'rumraisin', 'icecream', 'allspice', 'present']","['rich', 'dark', 'thick', 'sherried', 'fruit', 'galore', 'morello', 'cherry', 'compote', 'plum', 'jam', 'layer', 'rich', 'oak', 'warm', 'baking', 'spices', 'cinnamon', 'ginger', 'give', 'pleasant', 'pinch', 'nutty', 'backdrop']","['long', 'candied', 'orange', 'peel', 'rounding']",799.88,0,0,1,0,0,0,0,0,0.0,0.1172742651445908,,spices,,"Mackmyra 3yo TBWC,Glengoyne 18,Bunnahabhain 25,GlenDronach 21 Parliament,Glengoyne 25 Year Old,Colonel EH Taylor Bourbon,Glenfiddich IPA Cask,Glengoyne 21,Wolfburn Northland"
Robert Burns Single Malt,https://www.masterofmalt.com/whiskies/arran/robert-burns-robert-burns-single-malt-whisky/,Island Whisky,32.25,Arran,43.0%,70cl," Apple peels, a little pear juice, hints of coconut and apple blossom. Develops with custard and cinnamon."," Fruity and rich, vanilla, pannacotta, apple and lime peel.", Apple strudel and cinnamon on the finish.,apple peels pear juice coconut apple blossom develops custard cinnamon,fruit rich vanilla pannacotta apple lime peel,apple strudel cinnamon,"['apple', 'peels', 'pear', 'juice', 'coconut', 'apple', 'blossom', 'develops', 'custard', 'cinnamon']","['fruit', 'rich', 'vanilla', 'pannacotta', 'apple', 'lime', 'peel']","['apple', 'strudel', 'cinnamon']",40.31,0,0,0,1,0,0,0,0,0.0,0.05108823493193421,,vanilla,,"Tamdhu 10 Year Old,Glenkinchie 12,Tomatin Legacy,Ileach Peaty,Arran Amarone Cask,Arran 10,Ledaig 10,Islay Storm,Robert Burns Blend"
Auchentoshan American Oak,https://www.masterofmalt.com/whiskies/auchentoshan/auchentoshan-american-oak-whisky/,Lowland Whisky,24.9,Auchentoshan,40.0%,70cl," Oranges and lemons, toffee chunks and milk chocolate. Wafts of grassy air and clotted cream."," Bounty bars, more citrus peels and peaches. A little bit buttery, with golden barley and oak spice developing on the mid palate.", Lasting notes of grapefruit and toffee pennies.,oranges lemons toffee chunk milk chocolate wafts grassy air clotted cream,bounty bars citrus peel peaches buttery golden barley oak spice developing mid,lasting grapefruit toffee pennies,"['oranges', 'lemons', 'toffee', 'chunk', 'milk', 'chocolate', 'wafts', 'grassy', 'air', 'clotted', 'cream']","['bounty', 'bars', 'citrus', 'peel', 'peaches', 'buttery', 'golden', 'barley', 'oak', 'spice', 'developing', 'mid']","['lasting', 'grapefruit', 'toffee', 'pennies']",31.12,0,0,0,0,0,1,0,0,0.0,0.0235453040980094,,,,"Deanston Virgin Oak,Auchentoshan Three Wood,Talisker 10 Year Old,Bowmore 12,Glenkinchie 12,Penderyn Legend,Auchentoshan 12,Caol Ila 12,Tullamore DEW 12 YO"
Raasay While We Wait (2018 Release),https://www.masterofmalt.com/whiskies/r-and-b/raasay-while-we-wait-2018-release-whisky/,Scotch Whisky,39.95,R&B,46.0%,70cl," Gentle and approachable smoke, followed by a plethora of fruity aromas. You have red berries, clementine citrus, honeydew melon and finally freshly cut grass.", The peat smoke brings a dryness to the palate where the red wine notes really begin to come through alongside more of that orange citrus., Oily oak and a creamy note on the finish.,gentle approachable smoke plethora fruit aromas red berries clementine citrus honeydew melon finally freshly cut grass,peat smoke brings dry red wine really come orange citrus,oily oak creamy,"['gentle', 'approachable', 'smoke', 'plethora', 'fruit', 'aromas', 'red', 'berries', 'clementine', 'citrus', 'honeydew', 'melon', 'finally', 'freshly', 'cut', 'grass']","['peat', 'smoke', 'brings', 'dry', 'red', 'wine', 'really', 'come', 'orange', 'citrus']","['oily', 'oak', 'creamy']",49.94,0,0,0,0,0,0,1,0,0.0,0.0457351980144254,smoke,smoke,creamy,"Peat's Beast,Borders Single Grain #2"
Aberfeldy 21 Year Old,https://www.masterofmalt.com/whiskies/aberfeldy-21-year-old-whisky/,Highland Whisky,124.95,Aberfeldy,40.0%,70cl," Honey, fruity. Thick malt, enlivened by a fresh, zesty quality."," Smooth, vanilla, undulating, refined smoke."," Peters out gently, perhaps some ripe white peach notes and a good wave of honey.",honey fruit thick malt enlivened fresh zesty quality,smooth vanilla undulating refined smoke,peters gently perhaps ripe white peach good wave honey,"['honey', 'fruit', 'thick', 'malt', 'enlivened', 'fresh', 'zesty', 'quality']","['smooth', 'vanilla', 'undulating', 'refined', 'smoke']","['peters', 'gently', 'perhaps', 'ripe', 'white', 'peach', 'good', 'wave', 'honey']",156.19,0,0,1,0,0,0,0,0,0.0,0.0,,"smoke, vanilla",good,"GlenDronach Allardice,Dalmore King Alexander III,Glenfarclas 21,Balvenie 21 Year Old,Dalmore 18,Aberfeldy 12,Glengoyne 21,Cigar Malt,Dalmore 15"
Benromach Sassicaia Wood Finish 2011 (bottled 2019),https://www.masterofmalt.com/whiskies/benromach/benromach-sassicaia-wood-finish-whisky/,Speyside Whisky,44.95,Benromach,45.0%,70cl," Spiced and stewed fruits, just a hint of smoke and buttery pastries."," Fresh and vibrant summer fruits, orange peel, oak spice and creamy milk chocolate.", Gentle smoke lingers on the finish alongside a slight tannic note and berry sweetness.,spiced stewed fruits smoke buttery pastries,fresh vibrant summer fruits orange peel oak spice creamy milk chocolate,gentle smoke linger slight tannic berry sweetness,"['spiced', 'stewed', 'fruits', 'smoke', 'buttery', 'pastries']","['fresh', 'vibrant', 'summer', 'fruits', 'orange', 'peel', 'oak', 'spice', 'creamy', 'milk', 'chocolate']","['gentle', 'smoke', 'linger', 'slight', 'tannic', 'berry', 'sweetness']",56.19,0,1,0,0,0,0,0,0,0.0,0.07405573454205061,smoke,creamy,smoke,Benromach Cissac 2010
